subject,id,tp,group,fimbria_left,vofb_left,slfc_right,slfc_left,cc_ant,cerped_left,slfb_left,cing_right,slfa_right,thalsub_right,cing_left,ilf_left,intcap_right,vofa_right,ilf_right,fornix_left,amyhypven_right,slfd_right,amyhypven_left,slfd_left,cc_mid,hipcom,vofb_right,thalsub_left,ifof_left,atr_right,opticrad_left,vofa_left,cerped_right,chip_left,chip_right,cc_post,intcap_left,fornix_right,slfa_left,slfb_right,fimbria_right,opticrad_right,atr_left,ant_comm,ifof_right,thalslat_right,thalslat_left,thalsmed_right,thalsmed_left,cc_temp,amyhypdor_left,amyhypdor_right,site
20190118_152253_TOB_EpiBios_MHR_2404_M_I_D09_1_2,2404,9d,Sham,-0.5259422397578646,NA,-0.18480442069453565,-0.15334482476124953,0.012243096855651411,-0.5921678820185108,-0.09641461512857406,-0.38235703768589496,-0.1780700278223848,-0.5123806609530632,-0.25448835106981255,-0.6297349086800943,-0.4678053620085131,-0.6335939080771884,-0.17372293979336428,-0.6442623724335617,-0.48671025755722713,NA,-0.4553828646363127,NA,NA,-0.6232596949655139,-0.37161893434144977,-0.7476594925092974,-0.5129869013495696,-0.34729490596792506,-0.5945855762027978,-0.4461581112472712,-0.6247881543515466,-0.5215500328536733,-0.2102019386884885,-0.6051020305672749,-0.5883284087764072,-0.3873464193306239,-0.13799036480619295,-0.07668775414352033,-0.4720829622239593,-0.6200073684214737,-0.31983297410413564,-0.6875878366918404,-0.5366922050848069,0.0190883264518806,-0.028850106453247808,0.42661343173543526,0.10241532860619683,NA,-0.6618276196311221,NA,Melbourne-P1
20190204_095700_TOB_EpiBios_MHR_2399_M_I_D28_1_3,2399,1mo,TBI,-0.903667595340799,NA,-0.5755680852741946,NA,-0.3175487601179754,-1.4533905101279245,-0.3192145891364581,-0.6039929704906642,-0.40074199037926717,-0.9374138526026092,-0.749806349112439,-0.92459464554802,-0.8740051420647128,-0.4311094544081213,-0.927691035694233,-0.9370768565405647,-0.6190105200855865,NA,-0.7652198461564543,NA,NA,NA,-0.2928259746232197,-1.3705665844465484,-0.9928801220012998,-0.8140647298769713,NA,NA,-0.9999197520623856,-0.42862186367855964,-0.23035814056632564,-0.6215062507581646,-1.3918920194083577,-0.8773397658362412,-0.24115701040550458,-0.06789095894726835,-0.7516041213075397,-0.8094431967578615,-1.1816196085778774,-1.2926624156512185,NA,NA,NA,NA,NA,NA,NA,NA,Melbourne-P1
20190204_120101_TOB_EpiBios_MHR_2400_M_I_D28_1_3,2400,1mo,TBI,-0.19243858598105476,0.049761049280228106,0.1129340749174708,NA,0.21063753886182238,-0.8142037908512697,0.21075202845330235,0.0745691207534315,-0.020220485272303468,-0.3309944126502348,0.15997594265056675,-0.32610981624564656,-0.7114784236235892,0.25928111252643354,-0.5498187928666253,-0.15989190475538148,-0.6764988575646064,NA,-0.5107265766691625,0.26915211386223525,NA,-0.04423070577341148,0.10762480335660025,-0.9115742538340421,-0.2533487086896584,-0.2722516014270589,NA,NA,-0.7005045098023459,-0.4699122174696774,-0.30008451366336164,-0.13440985777841175,-0.9099216189713871,-0.08818736529532735,0.29611699690395205,-3.2646530378295676E-4,-0.04337783118300529,-0.5347820937645735,-0.2212100470037603,-0.6092533663650067,NA,-0.5125696923368682,NA,NA,NA,NA,NA,NA,Melbourne-P1
20190204_135129_TOB_EpiBios_MHR_2401_M_I_D28_1_3,2401,1mo,TBI,-0.21716432078072204,-0.26180995719243444,-0.17340777957186546,0.12508999326486017,0.15861532773267373,0.2046780915452627,-0.010148790317382722,-0.17835030125736315,0.1927020901473111,0.16966957025297483,-0.026095762691569505,-0.2690279344184398,0.23324240363022952,-0.09540365360614626,0.7543026687018339,0.043457439365927275,0.6161941703718867,0.15128753552401966,0.10995480695259195,-0.19412562152128784,NA,-0.018259622906431867,-7.314767922129497E-5,0.16068004560469792,-0.21720446327350307,0.10240332408035724,-0.44257531325017585,-0.5097664411805115,0.3081547504135728,-0.36796174848606805,0.12935976734794274,-0.1251868683325987,0.18412083277777608,-0.12960906378264042,-0.2876287537202833,0.13966392242016512,0.10851178767891273,-0.20827194490163772,0.3290299903326855,-0.22154884779608686,0.5225628662074143,0.5966375206670104,0.3355212587001401,0.7614501436539363,0.4469996075412478,NA,NA,NA,Melbourne-P1
20190204_152911_TOB_EpiBios_MHR_2402_M_I_D28_1_3,2402,1mo,TBI,-0.33185240652006776,-0.3919412024444192,-0.25070802492026767,0.06665077093845134,0.03697727785656635,-0.026719956787586697,0.06985115546909167,-0.2904422552558859,0.06119403412502455,0.10978171674511351,-0.0684038767038864,-0.25753505651003844,0.04538959402532418,-0.001488020602641299,0.8240448622100125,-0.23191978134411406,0.5359261646898393,0.17202889347367753,-0.2847881236470742,-0.0026267834222408683,NA,-0.27972900506409865,0.16606481558655686,0.007187177241987325,-0.17591138566672343,-0.02264490476758125,NA,NA,0.09069741484134407,-0.27087293071789714,-0.2324873033507849,-0.20802780375921326,0.010736403814865878,-0.17284786747852643,0.0298250701066898,-0.059262495180614,-0.043071785768535674,-0.16829766821227507,0.2343028596817434,-0.19088646907682777,0.49261498304475865,0.16622049550676704,0.1443034599646398,0.19266894323967185,0.33535850277945894,NA,-0.17522221554535067,NA,Melbourne-P1
20190205_092351_TOB_EpiBios_MHR_2403_M_I_D28_1_4,2403,1mo,TBI,-0.12342915092331774,-0.46889434517288026,-0.28590977337262413,-0.41535868907467594,-0.0859667555485658,-0.44688125938363255,-0.3448678048403397,-0.2936097888948635,0.06628480679456897,0.17969404823316798,-0.37601131764472195,0.4454197042550103,-0.04980526683374681,-0.05823372028520168,-0.35448158209589126,-0.2576121720406855,-0.33322863963782484,0.028564966989005475,-0.027176722699927443,-0.02670180776420912,NA,-0.06236041568193876,-0.012151701613471557,-0.4778809105137421,0.41514399846874345,0.065921862888559,-0.8573067044198032,-0.7195135593867941,-0.14786319808483328,-0.47275502373372025,-0.21510190235223017,-0.5020092478934371,-0.41998981643152294,-0.2750320248516928,-0.1057274560091325,-0.16769459288958885,-0.29136140115382053,-0.21265197487075926,-0.16940659399643174,-0.6781745977276116,-0.5490688073087987,-0.11551916977785025,-0.2821080257078799,NA,NA,NA,NA,NA,Melbourne-P1
20190205_111640_TOB_EpiBios_MHR_2404_M_I_D28_1_3,2404,1mo,Sham,-0.3677070089405116,0.49399126660266107,-0.23297393337481084,-0.14661963195016597,-0.033291470094006737,-0.5018597805269546,-0.04995431994751673,-0.1108168168702965,0.1833080848865991,-0.7384901970121459,-0.011840326895764305,0.009648620455159653,-0.7109710648336806,0.13140783143674542,1.3520006101599322,-0.15788969324931793,0.5111828754521508,NA,-0.7318402770809223,0.05816677300275852,-0.08723976498496123,-0.019381916228056077,0.18915952805734074,-0.24570133205914682,-0.6483882803954301,-0.5505700349408582,-0.09063827429067003,-0.013510299176634807,-0.6699603884390203,-0.12272415883760039,-0.16044171980638566,-0.24956969524143022,-0.37789149093213426,-0.31667493702614397,-0.07456372464600373,0.08442464422057745,-0.019392451495161268,-0.2791594486445674,-0.19859607556725356,-0.4563211166237994,0.6304860585222996,-0.8048811322346252,-0.510159553466621,-0.6192956726326423,-0.5013289174668556,NA,NA,NA,Melbourne-P1
20190205_131106_TOB_EpiBios_MHR_2405_M_I_D28_1_3,2405,1mo,Sham,-0.2524996376119125,0.4164137904170677,-0.4863236401276134,-0.49119170171356424,-0.46316096235578214,-0.33633159264220364,0.16688329956397877,-0.4631629280834368,-0.8567329855849427,-0.6059751923749901,-0.44463304715822793,0.10477476648058953,-0.7270039922676156,-0.3158730274268018,-0.1860563019161191,-0.24702156107283954,0.15007720056942217,NA,-0.1625874877096197,NA,NA,-0.42286021968022136,-0.4583368209938497,-0.28512704066840433,0.012666072282480484,-0.679769501861198,NA,NA,-0.5452072312610926,-0.15593634491550207,-0.5750568213994204,-0.46536693831943515,-0.4139437198979233,-0.20813684655926834,-0.024985875388929157,-0.8204033251902392,-0.5622733265687722,-0.7308790333691817,-0.3080410860099181,-0.54169975060161,-0.12643998428798758,-0.04021251757139156,-0.3370607590467138,0.16351541692885907,-0.2743461444667365,NA,-0.12990289568062027,NA,Melbourne-P1
20190205_144551_TOB_EpiBios_MHR_2406_M_I_D28_1_3,2406,1mo,Sham,-0.6081233425269456,-0.09316993181346946,NA,-0.3444671128574158,-0.10032304887151569,-0.39903300180495366,-0.5881455165560444,-0.4437398405371357,-0.024992998451310124,-0.723648308337865,-0.2119305064702955,-0.2383742097453617,-0.58981262808873,NA,-0.020572286747917754,-0.7293683373250058,-0.39083768144016817,NA,-0.47991269540625214,NA,NA,NA,-0.3969175583606263,-0.4622733615092461,-0.31410395775381267,-0.4641550640416551,-0.463652863870863,-0.13809399348439044,-0.5968921441207421,-0.40735006934577606,-0.3790553139235057,-0.42739879889602045,-0.42721248148251234,-0.6806642130011268,-0.03248039316603612,-1.2531047816304037,-0.6515669014108695,-0.6790700635406819,-0.14867990099981634,-0.5266745750438068,-0.14621722694247996,-0.47906173124792334,-0.15764541656446612,-0.14786465350763336,-0.1393194194506479,NA,-0.6528192654499864,NA,Melbourne-P1
20190212_094420_TOB_EpiBios_MHR_2454_M_I_D02_1_1,2454,2d,TBI,-0.24715149988253596,-0.3199195983894298,0.10658132982686634,-0.3447262563607884,0.07492248091199395,0.23203774730201043,-0.33503763614463883,0.24772381596716134,0.2562144940787961,0.6732063468178208,-0.19540131254140067,0.6006176820530009,0.6408444326712205,0.06717646875142148,0.47097531894997774,0.3332258591248076,0.5359574058487203,0.4000435619798963,0.4067832025084509,NA,NA,-0.45913298331989305,0.15615795467192914,-0.11682438342170127,0.6343271853712267,0.5670165086719532,-0.6952996780936116,-0.700347961025097,0.6842618288902902,-0.7584086587450003,0.0011048870245720188,-0.29982765749343476,0.027563770683578948,0.6125319613951774,0.06799103091936613,0.0500195290895723,0.521632302464597,0.15770142178179047,0.03152897871301936,0.6482484976529815,0.49914078219023134,0.3198483518875782,0.33709305297231507,NA,0.34849757193096353,NA,NA,NA,Melbourne-P1
