subject,id,tp,fimbria_left,vofb_left,slfc_right,ifof_right,slfc_left,cc_ant,cerped_left,slfb_left,thalslat_right,cing_right,slfa_right,thalsub_right,cing_left,ilf_left,thalslat_left,intcap_right,vofa_right,ilf_right,fornix_left,amyhypven_right,slfd_right,amyhypven_left,hipcom,vofb_right,thalsub_left,ifof_left,atr_right,cerped_right,chip_right,cc_post,intcap_left,fornix_right,slfa_left,slfb_right,fimbria_right,opticrad_right,thalsmed_left,atr_left,ant_comm,slfd_left,opticrad_left,chip_left,amyhypdor_left,cc_mid,vofa_left,thalsmed_right,cc_temp,amyhypdor_right,site
Kuopio_2d_1008,1008,2d,-1.4837735813072233,-1.871712534874781,-0.006679541405562305,0.5250944673864805,-1.5093299106110105,0.14156062923877838,-0.6740178468273915,-0.9681090769836161,-1.0511880630312784,0.11143969327328458,0.0942956800427182,-0.206063723465861,-0.8522975904191566,0.2969039874840732,-0.8284353165998697,-0.2508307397568689,-0.44597112729683475,0.42613309528596394,0.1941751773244021,-0.1982950516443809,-0.06609937927519674,-0.6109312598989485,-1.8584727716353218,-0.335791729479307,-1.0669966318677908,0.11264182876591676,0.2560780637329318,-0.14672108578669224,-0.3886843495525753,-0.9581525096030692,-1.0397017341165447,0.4572852387657793,-0.19627435484670988,-0.17561904124571434,-0.3598040831192366,-0.6029426984831768,-0.7612212636790403,-0.42642761028296794,0.43285155173840884,NA,NA,NA,NA,NA,NA,NA,NA,NA,Finland-P1
Kuopio_2d_1010,1010,2d,-1.759198186378641,-2.8792828499600382,-0.9030912082201051,-0.11372556699631614,NA,-0.824231875279834,-1.0543727187363696,-2.0814638469313618,-1.1096602737463046,-0.2761920795393939,-0.6486786002682078,-0.5449114085842546,-1.4108532864636705,0.12267418750343415,-1.1345270231082742,-0.899241628032063,-1.2453096885246637,-0.363118948698118,0.07710241805793537,-0.794926332234898,-0.8093256932626063,-0.5685744740950017,-1.5041767632324317,-0.9586623661801646,-1.7106176468047636,-0.17331271341399332,-0.35405783113876466,-0.8973290626857172,-0.8875888911970378,-1.7118704375830827,-1.6583200289072642,-0.03843985621754558,-1.275907600818112,-0.9581085681771825,-0.8699138744103297,-1.0247765824557464,-0.9695349220219469,-1.2801959887586227,-0.5286368768371176,-1.5111042021830803,NA,NA,NA,NA,NA,NA,NA,NA,Finland-P1
Kuopio_2d_1012,1012,2d,-1.2017283123694327,-1.432468608681234,-0.42275982596385037,0.024350715989480815,-0.6746095465918583,-0.3485328672891954,-0.7452279040476648,-0.6415015845273406,-0.8389205201067579,0.003673692573545077,-0.4097789123906285,-0.201251040665451,-0.4556933251682211,0.15331644838054426,-1.3154302139803098,-0.2097220477197811,-0.7453190926095822,-0.07597337554781183,0.10296079945642529,-0.4435316238178468,-0.4415103021519712,0.6720163089751781,-1.3151661079132857,-0.6915443364756898,-1.236050877591566,0.16785801879270784,-0.0932180972621312,-0.22330484814749071,-0.5939063288496811,-1.2397225439160549,-1.0143706125206016,0.23476276221869088,-1.1849939873962683,-0.6276003534607156,-0.6057457648693705,-0.6536770039311233,-1.3992234110077477,-0.7233422707717299,-0.22772994864723414,NA,-1.6577303740780258,-1.549083987543554,NA,NA,NA,NA,NA,NA,Finland-P1
Kuopio_2d_1017,1017,2d,-0.5812865116356289,-0.27242351092392453,-0.42285745758517673,0.15048909796369028,-0.7532750037831697,-0.679531146275544,-0.14594187476111165,-0.6635518534149671,-0.21596220467153715,-0.6133871122033232,-0.5622911093377703,-0.2514821254886966,-0.8668364253434199,0.3234240961317654,-0.3228721023919078,-0.25052234856199107,-0.48007262148317625,0.08709484745145646,-0.3262119741815143,0.05942662474927797,-0.5471587316980788,0.10949911708786211,-0.5519293187564028,-0.21286915069537135,-0.48629720805281546,0.2553989987737264,-0.37375438551503215,-0.13416971387273266,-0.527731418458691,-0.5465500792103437,-0.2074723226403352,0.09185756425407375,-0.17607430151583608,-0.15289537413516063,-0.42070253369507005,-0.5581522594233224,-0.40108999956774205,-0.42070128395255957,0.2964770478525651,0.10559644147121584,-0.6032579895147082,-0.23571041464559234,-0.36183722300453375,-0.5914175802663157,-0.26716628778421075,-0.18274409719508014,-0.2536589947320648,NA,Finland-P1
Kuopio_2d_1018,1018,2d,-1.1969421142325487,-2.5528793520991044,-0.49900626369227463,0.3303031043524451,-2.1649747190297495,-0.36749014022454296,-0.37164561248383227,-1.915706539926445,0.39407809921239395,-0.42813623443304816,-0.2967604367248081,-0.017047017070492405,-1.3186374843934512,0.04143998468535645,0.033810364754627356,-0.05589532254013708,-0.4785378742695741,0.14604988555642756,0.38933743173541924,0.2817174041774774,-0.2606955962666322,-0.17197513583536356,-1.4610626207619402,-0.22870278589222914,-1.1736462161962555,-0.018702175520715764,0.09526322061296631,0.12013658967502827,-0.6553569404074701,-1.7941079198449126,-0.8852277667797789,0.5190959639740045,-1.1050005861333352,-0.3515406930211141,-0.22531670471803397,-0.6642651918614452,0.2721706994400026,-0.5919376489109729,0.09352549396634437,-1.0124113472983163,-3.0632635150193357,-3.085488624041448,NA,NA,NA,0.5563881576245514,NA,NA,Finland-P1
Kuopio_2d_1019,1019,2d,-1.2820502129743458,-1.6479461185699102,-0.6042292495979344,0.9734823122033953,-0.9129565207452753,-0.07933142279780828,0.13427320840721263,-0.9014534618707809,0.3868863573538123,-0.23359203226360029,-0.0833355243417727,0.2978120505953335,-0.46199376670643516,0.5703014270570193,-0.1909535844788505,0.5533031502965697,-0.826222033651584,0.8121776922814489,0.7994560029893738,1.1940897002572262,-0.08241284053305616,0.41548985279834283,-1.3534723990541937,-0.6211212245155062,-0.6361064721257454,0.4714026289948324,0.3510669068232425,0.7035365299984458,-0.5166805187490633,-1.3800537959275176,-0.257856307473873,0.979651056557405,-0.7722106930568376,-0.6154247478602712,0.04584177521801628,-0.561137693152614,0.20596996877814666,-0.12656776047672205,1.1009016691523903,NA,-2.0829418170247673,-1.2127921042107608,NA,NA,NA,0.6506422537466359,NA,NA,Finland-P1
Kuopio_2d_1024,1024,2d,-1.1174211323499814,NA,0.08082103015550633,0.6870416864078853,-1.0710644294181453,0.06429665627869746,-0.2013008005851442,-1.155163009802245,-2.178782748364369E-4,0.0926923733984665,-0.03772370374927725,0.20245829606753818,-0.5679055540041881,0.30058082241565276,-0.11702466479383547,0.23439799398013103,-0.20402736499855245,0.5284053469010216,0.30461406128387253,0.29808376736693604,0.04828568774077373,-0.9432678023665668,-1.3768288664559718,-0.13333756222026144,-0.6830897539282361,0.013013331531457216,0.39570034310973484,0.2968298858197461,-0.3553720605847828,NA,-0.37059944172909176,0.44761987164399286,-0.19082138598438386,0.2065884126710102,-0.08913928060362512,-0.20273466657556768,-0.0010862106323585986,-0.15642745592768836,0.17020416197142477,NA,-2.431771042357769,-1.4190004637200346,NA,NA,NA,0.3561449335278238,NA,-0.0829717573749328,Finland-P1
Kuopio_2d_1026,1026,2d,-0.3414854462445254,0.5773040004667916,-0.2012625610909555,0.17345384832775157,NA,-0.12245555127534892,-0.024973697107101695,0.5029162183536164,-0.22599419231785564,-0.5757840458713284,0.09467127741442427,-0.42145993716918745,-0.06000744543406183,0.2330278234039039,-0.08928433364558436,-0.34493842379062883,-0.03560844232238378,0.36860918309565427,-0.1638633117270376,0.055480063166928835,0.09152441085793961,0.1191387315751157,-0.44147197024826484,0.1286733393813556,-0.1051329198908484,0.13909074148730985,-0.4106899057666973,-0.28783950524329693,-0.6720689575164454,-0.5094567244292695,0.02585433939444659,-0.09587133229155602,0.40073570049800983,0.3053848109345732,-0.46112547176454804,-0.3924987373514656,-0.0892809946948776,0.062499499810015895,-0.12839800177589608,0.45496545971262187,-0.09815352908727669,-0.5193553689103597,-0.3886036940178934,NA,0.1336533890263664,-0.12068495649284891,-0.427213710371727,NA,Finland-P1
Kuopio_2d_1027,1027,2d,-1.073663056503491,-1.9099642576760838,-0.6737844924560625,-0.19962614482055652,NA,-0.7051774704167211,-0.8870913982446345,-1.4125191233447265,-0.11906509789042788,-0.49551259573529205,-0.5761913529757033,-0.7098939796962137,-1.2061768614033794,-0.1811780887415434,0.006221049069083339,-0.7488892605166035,-0.7313164720298638,-0.29043981232381966,-0.02339496176648873,-0.6657414471881645,-0.5185405353700882,-0.2624178676456034,-1.0602401879248786,-0.6857173212328869,-1.3770759540720365,-0.33672880474073624,-0.4581495028636409,-0.5111862931066402,-0.8604894435300272,-1.9019725170450805,-1.335251979338321,-0.046624011572290236,-1.3158660592306621,-0.6748703296859727,-0.4558898831627938,-0.8329842038182331,0.25708881708014836,-1.052891922654918,-0.15647316222573046,NA,-2.1027426713264865,-2.8995224399095374,NA,NA,-2.9227359110124334,0.23102666448988937,NA,NA,Finland-P1
Kuopio_2d_1028,1028,2d,-1.6619220652279532,-2.0186326957808407,-0.8764315003637089,-0.4784820411633506,NA,-0.030104696279954386,-0.5035082135380533,-1.325055392364469,-0.8670774848425064,-0.7911334076837878,0.2824014186239912,-0.16449292994256992,-0.8886713669250027,-0.7156227260668134,-1.1454765837305703,-0.16953062570470462,-0.7786208109771395,-0.9792065745094082,-0.4565889699551469,-0.7251929784902035,-0.02737915612740627,-1.43098134429498,-2.219089446822712,-0.5585746522815174,-0.9048889430515986,-0.9432208515564483,0.11053988987516945,-0.20556278444874043,-0.9553881311847086,-1.9351772282097885,-0.6641198000443099,-0.2671219311945047,-0.3302830956649703,-0.5500457731638718,-0.9484715597320473,-1.041423900918092,-1.1754413199941232,-0.2480340362211809,-0.1312824799189817,NA,-2.0677119993474795,-2.6306552205317706,NA,NA,-4.7531895424039945,-1.0740243088265435,NA,NA,Finland-P1
