subject,id,tp,group,fimbria_left,vofb_left,slfc_right,ifof_right,slfc_left,cc_ant,amyhypdor_left,cerped_left,slfb_left,thalslat_right,cing_right,slfa_right,thalsub_right,cing_left,ilf_left,thalslat_left,intcap_right,vofa_right,ilf_right,fornix_left,amyhypven_right,slfd_right,amyhypven_left,cc_mid,vofb_right,thalsub_left,ifof_left,atr_right,opticrad_left,vofa_left,cerped_right,chip_left,chip_right,thalsmed_right,cc_post,intcap_left,fornix_right,slfa_left,slfb_right,fimbria_right,opticrad_right,thalsmed_left,atr_left,ant_comm,hipcom,slfd_left,cc_temp,site
gds190111_3141.Ri1,3141,9d,TBI,-1.444817772103317,-0.42318980001835266,0.47500666689104304,0.8535551655767307,0.02016318778315517,0.46698228513702894,NA,-0.140425513240523,-0.19681305610152663,0.02379875414201663,0.3713545855120786,0.4832794159638123,-0.030548448461284357,-0.06540612775736668,0.27199071896076626,-0.28275922441340606,0.13315649438981197,0.371458854743144,0.940790262520538,-0.3414181268954452,0.47975225414559797,0.3965797606452662,-0.1348202951995674,NA,0.22820539704648243,-0.562358395590232,0.29793623166579164,0.33088477844884795,-1.577568113595407,NA,0.2969035634806874,-0.6589256509021438,0.05644742280954468,0.24224162610954586,-0.1893969806890325,-0.4533221678471735,-0.03148810394904602,-0.28722207291399376,0.21095455293988427,0.011974907721872752,-0.09983443846245499,-0.2133994984527527,0.18852414306225962,0.565036445194686,NA,NA,NA,UCLA-P1
gds190111_3144.Ri1,3144,9d,Sham,0.06643175042100068,0.9871443138139224,0.35479690202420616,-0.717088906320598,-0.02634683674495259,-0.23858115616960987,NA,-1.0007688749112398,-0.18918480706545465,-0.8004203776829196,0.04843645365734035,-0.4698384341389043,-0.822572425366796,-0.06121255965365045,0.058880427087442094,-0.9575429080125325,-0.8570904907608409,0.5138583573729474,0.0544688361959406,-0.09622923395650682,-0.7943364710696518,-0.3138703015183454,-0.07777777146641916,NA,0.17345280019485051,-1.0468686095871926,-0.03864586130231635,-0.4857484640834636,-0.3179227483561732,0.36370870069146144,-0.7061782971036076,0.17713548705203988,0.0670850225406893,NA,-0.20247920078501266,-0.9793004661458904,-0.001813785899062886,-0.30939143648117434,-0.01641235276291939,0.26952635316872786,-0.18545334179681042,-1.0155384992569978,-0.8518578466685732,-0.3126859952171552,-0.11575470613698716,NA,NA,UCLA-P1
gds190314_3152.Si1,3152,9d,TBI,-0.16412459460186832,-0.6347002317259994,0.4102156398350661,0.1578107897898511,0.268625697557956,0.15368358481192607,NA,-0.5908773709256468,-0.21398720879397098,-0.4196916343620295,0.19310398304229784,0.2621038757665035,-0.6025892994335694,0.20502954780311392,0.17789898418960623,-0.4114765566736021,-0.5604444388544617,0.21931993194174645,0.15312707564952724,0.09447371221564656,0.04819780663762079,0.023889619966576257,0.2262237530163327,-0.48119592505556125,0.1436868052938735,-0.9548974041776839,0.13732556288979628,-0.15678006354667584,-0.6551952369022739,-1.09648365076744,-0.5050909136798553,-0.3353692170832191,0.09447930207315737,-0.5205311646043417,-0.07061274584877866,-0.635835209316061,0.05959780328063899,-0.3818703663280532,0.19679119589001817,0.06557096682204107,-0.11793224331931755,-0.4656959993869304,-0.4519839518274731,-0.1315043700825418,NA,NA,NA,UCLA-P1
gds190314_3153.Si1,3153,9d,TBI,0.1451821600069714,0.15483849570251526,0.4027125678370422,0.19580843036123316,NA,0.13998130915346993,NA,0.1214575664519689,0.4678628674975924,-0.01301140890718886,0.5251189141105302,0.03161783551058148,0.1574038502328358,0.3312255891352465,0.037413226505519134,-0.1171627028612735,0.0457432001267967,0.4074661846814647,0.3585819241923577,0.07344884024337507,0.20898958245289942,0.046369646338784994,0.03744924703294683,NA,0.47231174990010977,-0.05765655187215212,0.04604256418816512,0.023239255799082346,-0.2587256320196451,-0.08056282288920792,0.08429480270876707,-0.046534954786487365,0.20497554287493017,-0.06820794667777859,0.11803329716401555,0.11240651857148895,0.07315458291713323,0.4353872550302651,0.47367631173922925,0.5449388906897115,0.38886227889999936,-0.12394947752185145,0.19705137338426856,0.5456866769940402,0.099004158802553,NA,0.07986126094034461,UCLA-P1
gds190314_3154.Si1,3154,9d,TBI,0.1573697047273029,-0.7142587639434301,0.5001553882859161,0.13435394492706002,NA,0.45260674142965207,-0.018013407791419342,-0.11756439490925785,0.5942157861940942,-0.22506453767355844,0.6385320165318834,0.2832060340307209,-0.04801234721873804,0.6551434682640934,0.43570673325338616,-0.35109073242417455,0.11154703105590341,0.0994540077910606,0.1434602585957973,0.11970949384485007,0.451460212123258,0.19393382350747027,-0.02740668966828539,NA,0.17241279928961614,-0.4730748292510458,0.3916656307919873,0.22827376393962454,-0.48417177015298535,NA,0.08649916953984732,-0.5248376333135731,0.016127309629091913,-0.11138857572184833,-0.126357924875824,-0.21651356170568462,0.23151473704648237,0.36329058495627903,0.47623469927117457,0.4236342212771036,0.14292788609083248,-0.2722015169785255,0.190844501359989,0.34570598975344435,0.2140667340094944,0.17518681465823044,NA,UCLA-P1
gds190314_3162.Si1,3162,9d,TBI,-0.17068131131752887,-0.4743874697103994,-0.3040106650253247,0.2238288536440578,-0.15914455016339502,0.18120532197465655,NA,-0.12035961199852425,-0.2508594556709564,-0.09711599644810304,-0.3648462859071489,-0.018860055872563553,-0.3060284628775986,-0.10801631743360093,0.08063466214849475,-0.11795091411946822,-0.18867693784440154,-0.12057411860278855,0.07433619597474092,-0.15919146853663377,0.38809799898556846,0.0953344174682057,0.15818271722179514,NA,-0.15714287679314665,-0.27666087867202893,0.07876476471041874,-0.12145719182952004,-0.7165504980108864,-0.7076108857389869,-0.12281443823950827,-0.3445927450054009,-0.2936799830687317,NA,-0.3947932821155691,-0.1177916860399067,-0.1526108235832617,-0.07860289770095066,-0.18367262310065954,-0.22699330630807357,-0.4743387238698049,-0.15612757489643628,0.1074711241622912,0.11114561308159815,-0.6657545240735999,-0.06466035709084618,-0.2099227140994877,UCLA-P1
gds190314_3164.Sj1,3164,9d,TBI,-0.1952807220653941,NA,0.1403114030493752,0.31509017885605767,NA,0.6470252085945883,NA,-0.04631532404706906,0.06219396790592488,-0.29676037126744836,0.2413812214209658,1.0559629458639068,0.23194888067224834,0.0749391858746806,0.1699386533594969,-0.4908391664956062,0.5140863039315033,NA,0.3247954238441171,-0.25158094089659816,-0.060558228078132194,1.1536876075893387,-0.3798386423397256,NA,0.6067003538858564,-0.0819969185902414,0.04853192347258977,0.5845317924774092,-0.6072918067446174,NA,0.3425769024797514,-0.17196188989965963,-0.014827159146580329,NA,-0.14219109237257188,-0.008488091162261575,-0.10679551734908797,0.4822245596596869,0.47850949697899353,0.11966621654842129,0.1378403040234243,-0.38790356342641386,0.2696534232592098,0.463381507382983,-0.3656800100932809,0.23810146123669734,NA,UCLA-P1
